Date,Comment_thread_id,comment_position,Tag,comments
7/1/2015 9:37,5593b4c5b30d84a7e5000c5a,1,P, look forward
7/1/2015 11:06,5593b4c5b30d84a7e5000c5a,2,P, likewise
7/1/2015 11:23,5593b4c5b30d84a7e5000c5a,3,P, good luck
7/1/2015 11:51,5593b4c5b30d84a7e5000c5a,4,P, regard
7/1/2015 12:21,5593b4c5b30d84a7e5000c5a,5,BQ, video currently
7/1/2015 12:34,5593b4c5b30d84a7e5000c5a,6,B, yet
7/1/2015 19:16,5593b4c5b30d84a7e5000c5a,7,P, look forward great experience
7/1/2015 12:47,5593e104a9a36e5e21000d6b,1,S, tell u something you- name country want learn class
7/1/2015 13:03,5593e104a9a36e5e21000d6b,2,S, hi vysakh venugopal india
7/1/2015 19:08,5593e104a9a36e5e21000d6b,3,S, hi name keylee 'm u az 'm lifelong learner look forward learn technology/data influence educational system
7/1/2015 19:15,5593e104a9a36e5e21000d6b,4,S, hi name justus harris uganda
7/1/2015 19:17,5593e104a9a36e5e21000d6b,5,S, hi everybody aidar russia
7/1/2015 19:17,5593e104a9a36e5e21000d6b,6,S, name carolyn live portland
7/1/2015 19:18,5593e104a9a36e5e21000d6b,7,S, hey 'm benji u currently work san francisco go school meng boston 'm research assistant ra mit app inventor want learn good leverage data understand student learn code particular **Let know anyone bay area would like meet week chat course **
7/1/2015 19:19,5593e104a9a36e5e21000d6b,8,S, hi 'm archana washington dc interested learn interpret mine data influence effective policy education
7/1/2015 19:19,5593e104a9a36e5e21000d6b,9,S, hey everyone saif ullah pakistan
7/1/2015 19:26,5593e104a9a36e5e21000d6b,10,S, hey 'm cory u nyc currently study mathematics education 'm interested see people besides teach education
7/1/2015 19:33,5593e104a9a36e5e21000d6b,11,S, hi everyone 'm iyarie figueroa guadalajara city mexico 'm look forward learn much possible education strategy analyst important relevance data education nowadays complete access information many way many source challenge able control take advantage vast volume data decide enlist course.Nice meet
7/1/2015 19:37,5593e104a9a36e5e21000d6b,12,S, hi lizzie elementary school teacher nyc spend past 2 year teach 1st kindergarten charter school use generate lot different data school always hard time put together generate actual knowledge interested see learn course use professional life look forward
7/1/2015 19:45,5593e104a9a36e5e21000d6b,13,S, hi 'm teach longwood university virginia usa research background ai much experience kind data model 'm hop learn technique use small data set small school mean small n and/or get inspire acquire large data set play
7/1/2015 20:07,5593e104a9a36e5e21000d6b,14,S, hi 'm tatiana canales 'm chilean -so first language Spanish- 'm charge curriculum planning evaluation private university chile 8000 student app know could help others take good decision learn course
7/1/2015 20:22,5593e104a9a36e5e21000d6b,15,S, hi cassandra luxembourg work quality officer within university want learn leverage data decision-making promote enhancement policy teach quality
7/1/2015 20:27,5593e104a9a36e5e21000d6b,16,S, hi name jorge peñaloza 'm colombia
7/1/2015 21:12,5593e104a9a36e5e21000d6b,17,S, hi 'm leanne north carolina usa
7/1/2015 21:40,5593e104a9a36e5e21000d6b,18,S, hy name lane randal live florianópolis brazil hop learn work large data set education interested use data improve though question predictive analytics
7/1/2015 21:42,5593e104a9a36e5e21000d6b,19,S, hi 'm emily boston currently work data-driven educational non-profit -- interested see relate current work look forward new perspective
