Date,Comment_thread_id,Tag,comments
7/1/2015 9:37,5593b4c5b30d84a7e5000c5a,P,Looking forward to this :)
7/1/2015 11:06,5593b4c5b30d84a7e5000c5a,P,Likewise!
7/1/2015 11:23,5593b4c5b30d84a7e5000c5a,P,Same!  Good luck!
7/1/2015 11:51,5593b4c5b30d84a7e5000c5a,P,Regards!!!!
7/1/2015 12:21,5593b4c5b30d84a7e5000c5a,BQ,No videos currently?
7/1/2015 12:34,5593b4c5b30d84a7e5000c5a,B,Not yet!
7/1/2015 19:16,5593b4c5b30d84a7e5000c5a,P,Looking forward to a great experience!\n
7/1/2015 12:47,5593e104a9a36e5e21000d6b,S,Tell us something about you\n\n- Your name \n- Country \n- What you want to learn in this class
7/1/2015 13:03,5593e104a9a36e5e21000d6b,S,"Hi, this is Vysakh venugopal from india"
7/1/2015 19:08,5593e104a9a36e5e21000d6b,S,"Hi, My name is Keylee and I'm from the US (AZ).  I'm a lifelong learner & looking forward to learning how technology/data can influence our educational system."
7/1/2015 19:15,5593e104a9a36e5e21000d6b,S,"Hi, My name is Justus Harris from Uganda."
7/1/2015 19:17,5593e104a9a36e5e21000d6b,S,"Hi, everybody. I am Aidar from Russia."
7/1/2015 19:17,5593e104a9a36e5e21000d6b,S,"My name is Carolyn. I live in Portland, OR."
7/1/2015 19:18,5593e104a9a36e5e21000d6b,S,"Hey I'm Benji from the US (currently working in San Francisco but going to school (MEng) in Boston). I'm a research assistant (RA) with MIT App Inventor and want to learn how to better leverage data to understand how students learn (to code, in particular).\n\n**Let me know if anyone is in the Bay Area and would like to meet up once a week or so to chat about this course!**\n"
7/1/2015 19:19,5593e104a9a36e5e21000d6b,S,"Hi, I'm Archana - from Washington, DC and interested in learning how to interpret and mine data to influence effective policy in education!"
7/1/2015 19:19,5593e104a9a36e5e21000d6b,S,Hey Everyone!\nIts Saif Ullah from Pakistan.
7/1/2015 19:26,5593e104a9a36e5e21000d6b,S,"Hey, all!  I'm Cory from the US (NYC!).  I currently study Mathematics Education but I'm interested in seeing what people are doing besides teaching in education."
7/1/2015 19:33,5593e104a9a36e5e21000d6b,S,"Hi everyone, I'm Iyarie Figueroa from Guadalajara City in Mexico and I'm looking forward to learn as much as possible of education. I am an strategy analyst, so it is important to me the relevance between data and education. Nowadays we have complete access to information, in many ways and from many sources, so, the challenge is to be able to control and take advantage of the vast volume of data. This is why I decided to enlist this course.\n\nNice to meet you all :)"
7/1/2015 19:37,5593e104a9a36e5e21000d6b,S,Hi. \n\nI am Lizzie and I am an elementary school teacher in NYC. I have spent the past 2 years teaching 1st and kindergarten at a charter school. We used to generate lots of different data at my school but always had a hard time putting it together to generate actual knowledge. I am interested in seeing what I can learn in this course that I can use in my professional life. Looking forward to it.
7/1/2015 19:45,5593e104a9a36e5e21000d6b,S,"Hi, I'm Don.  I teach at Longwood University in Virginia (USA).  I have a research background in AI but not much experience with this kind of data modelling; and I'm hoping to learn about techniques I can use on smaller data sets (small school means small N ;) and/or get inspired on how to acquire larger data sets to play with."
7/1/2015 20:07,5593e104a9a36e5e21000d6b,S,"Hi, I'm Tatiana Canales, I'm chilean -so my first language is Spanish-. I'm in charge of curriculum planning and evaluation in a private university in Chile (8000 students app) and I know I could help others take better decisions if I can learn the most in this course."
7/1/2015 20:22,5593e104a9a36e5e21000d6b,S,Hi Cassandra in Luxembourg here. I work as quality officer within a university and want to learn more about how to leverage data for decision-making to promote enhancement policies in teaching quality.
7/1/2015 20:27,5593e104a9a36e5e21000d6b,S,"Hi, my name is Jorge Peñaloza, I'm from Colombia."
7/1/2015 21:12,5593e104a9a36e5e21000d6b,S,"Hi, I'm Leanne from North Carolina, USA."
7/1/2015 21:40,5593e104a9a36e5e21000d6b,S,"Hy! My name is Lanes Randal. I live in Florianópolis, Brazil. I am hoping to learn about working with large data sets in education, interested in how we can use data to improve, though we have questions about predictive analytics."
7/1/2015 21:42,5593e104a9a36e5e21000d6b,S,"Hi all, I'm Emily from Boston. Currently working at a data-driven educational non-profit-- interested to see how this relates to my current work and looking forward to some new perspectives!"
7/2/2015 0:12,5593e104a9a36e5e21000d6b,S,"Hello, I'm Alex from Columbus, Ohio. I am currently studying music education at Indiana University, and I am exploring topics for my senior thesis. I'm hoping this course will give me some ideas on how to incorporate big data in this project or potentially make it a major focus."
7/2/2015 2:25,5593e104a9a36e5e21000d6b,S,"- My name is Mike\n - I'm from Pittsburgh, PA (USA)\n - I'm hoping to refine my big data skills and approach my data analysis in a more structured way."
7/2/2015 6:42,5593e104a9a36e5e21000d6b,S,"Hello all,\nI am from California and work as an instructional designer of large training systems. I took this class once before via Coursera, but need spaced repetition to make it stick! Looking forward to getting in a little deeper this time and include some of the readings."
7/2/2015 8:50,5593e104a9a36e5e21000d6b,P,Welcome everyone! I'm very glad to have you in the class.
7/2/2015 9:27,5593e104a9a36e5e21000d6b,S,"Hello, Everyone, I am Fangfang from China, i came here in order to know how i can get my job better as a teacher of English in present big data era."
7/2/2015 11:56,5593e104a9a36e5e21000d6b,S,"Hi, I am Sen from Malaysia"
7/2/2015 19:15,5593e104a9a36e5e21000d6b,S,"Hello Everyone, I am Ante from Croatia. We have group on Facebook, this is the link:\n\nhttps://www.facebook.com/groups/412359268951647/"
7/2/2015 20:21,5593e104a9a36e5e21000d6b,S,"Hello,\n\nMy name is Roman and I'm from Germany.\nI joined the course because I'm interested in Machine Learning/Predictive Modeling.\n"
7/2/2015 21:30,5593e104a9a36e5e21000d6b,S,"Hello everyone, \n\nMy name is Emily, and I'm from Canada. I am very interested in learner modelling and would like to learn more about machine learning as well. \n"
7/2/2015 22:02,5593e104a9a36e5e21000d6b,S,"Hello My Name is Yimmi Alexander Moreno, From Bogota Colombia, and I expect to learn more about Big Data and strengthen my skills in front of all these issues ..."
7/2/2015 22:02,5593e104a9a36e5e21000d6b,S,hola me llamo alex tambien soy de colombia....
7/2/2015 22:28,5593e104a9a36e5e21000d6b,S,"Hi, My name´s Cristhian. I´m from Colombia. I expect to know new metogologies to work with database in relation to education theme."
7/2/2015 23:16,5593e104a9a36e5e21000d6b,S,Hi everyone! My name is Maria and I teach a large-format online General Education course for a public university in the US. Hoping to learn how to mine data to inform my choices about pedagogical practices in order to improve my students' learning outcomes.
7/4/2015 13:29,5593e104a9a36e5e21000d6b,S,"Hi everyone, my name is Quan. I am from Vietnam and I am going to do my MA in Maastricht University, Netherlands. I am excited to learn about big data in education and the first online course experience :)"
7/5/2015 15:03,5593e104a9a36e5e21000d6b,S,My name is Sofia Munawar. I live in Pakistan.
7/6/2015 20:11,5593e104a9a36e5e21000d6b,S,Hi everyone.\nI am Fahimeh. From Iran. I am interested to capture valuable knowledge on Big data technique and tools analysis. My main intention is to have the second Master degree on data science.
7/8/2015 12:44,5593e104a9a36e5e21000d6b,S,"Hi,\n\nMy name is Cristina from Barcelona"
9/3/2015 13:04,5593e104a9a36e5e21000d6b,S,"I will like to know you, Emily\n"
7/1/2015 19:07,55943a67b30d843c41000d95,S,"My name is Gary Ritter, and I live in Charlotte, NC. I direct the learning technology services team at a community college, and we are always interested in how we can use data to improve, though we have questions about predictive analytics. I look forward to learning more with all of you."
7/1/2015 19:21,55943a67b30d843c41000d95,S,"Hello Classmates,\n\nMy name is Megnote and I live and work in Washington, DC. I have been working in education sector for the past 5 years at an international development agency. I am have a particular interest in data  for informed decision making. I just heard about big data few months ago when I stable on a policy meeting. I would like to learn more as I particularly work in the area of education and policy. Looking forward for this open learning opportunity."
7/2/2015 8:51,55943a67b30d843c41000d95,P,Welcome to the class! I'm glad to have you here!
7/1/2015 19:17,55943cc2b30d843e96000d52,S,"Hello, my name is Andrew from New York City. I'm excited to learn more about Big Data in Education!"
7/2/2015 8:51,55943cc2b30d843e96000d52,P,Welcome to the class! I'm glad to have you here!
7/1/2015 19:18,55943d17b30d8463fc000ea2,B,"In the Student Guide Section, in the Course Structure sub - section, it is written ""Videos. The lectures are delivered via videos, available on **Coursera**, which are between four and fifteen minutes long.""\n\nKindly correct it to **Edx**.\n\nCheers!"
7/1/2015 19:27,55943d17b30d8463fc000ea2,B,"Hi saif_pk,\n\nThank for you spotting and reporting this error. We have corrected it and switched it to edX.\n\nJose D."
7/1/2015 19:19,55943d5bb30d8463fc000ea5,S,"Hi everyone, I work in Further Education in the United Kingdom and I'm looking forward to finding out more about the role Big Data can play in the field"
7/2/2015 8:51,55943d5bb30d8463fc000ea5,P,Welcome to the class! I'm glad to have you here!
7/1/2015 19:25,55943ec0a9a36e66e8000d8b,S,"Hello, all!\n\nI am a bilingual educator from rural Oregon, USA in a Title I school (high poverty) who is very interested in Data Collection - especially, since we generate tonnes of it.\n\nOur school demographics (360 @ my school, >5,500 @ district) are 51% Hispanic - 48% White - 1% Other with >90% poverty level families. Our students receive free breakfast and lunch as a result of the PL in the community. Many migrant field workers in our farming community. Our families are some of the nicest around the state (data skewed by me).\n\nLooking forward to complete the course successfully so as to be able to put the learning to practice and help my school-district-community at large. \n\nBest,"
7/2/2015 8:52,55943ec0a9a36e66e8000d8b,P,Welcome to the class! I'm glad to have you here! The population you work with can be a difficult one to study -- most data systems don't handle migrant populations very well. Good luck with your important work.
7/1/2015 19:36,55944126b30d840f2c000e14,S,"Hello All,\n\nI started my career as an academic researcher at own of the universities in Boston, MA after I received my diploma from Leiden University in The Netherlands. From there I set up a toxicological testing company that did some consulting work for pharmacological companies and the US government. Finally, I switched to education at the high school level teaching Biology, Environmental Science, and Chemistry and at a local university teaching Biology and Human Physiology and Anatomy. Most recently, I have been moving towards data analysis techniques and cybersecurity."
7/2/2015 8:52,55944126b30d840f2c000e14,P,Welcome to the class! I'm glad to have you here!
7/1/2015 19:40,5594422ca9a36ea584000dc2,BQ,Hi. \n\nI am very new to big data and specifically to this program - Rapid Miner. Are we supposed to download it? Or are we using somehow inside the Edx course? \n\nAlso - if I have never used Rapid Miner - does that mean this is the wrong course for me? \n\nThanks\nLizzie
7/1/2015 19:48,5594422ca9a36ea584000dc2,BQ,"In the first lecture, Prof Baker says we ""may want to think about downloading or setting up accounts for tools like RapidMiner 5.3, that's probably going to be our biggest tool in the course.""  It appears to be available at https://rapidminer.com/ , where you can download it (or perhaps use it online?)."
7/1/2015 19:56,5594422ca9a36ea584000dc2,B,...although what's available there is RapidMiner 6 rather than 5.3.  I assume that'll be ok.  On the upside: it's available for Linux as well as Windows and Mac! :)  On the possibly-down-side: the trial license is only good for two weeks.  What happens at the end of that?
7/1/2015 20:17,5594422ca9a36ea584000dc2,B,I did see in the walkthrough document a link to download a previous version which then appears to be free - although I have not done this yet. I am trying to get my bearing so far to see if this course might be completely too advanced for me :)
7/2/2015 8:54,5594422ca9a36ea584000dc2,B,"Hi all. I expect most people taking this class will NOT have used RapidMiner before. We have a Walkthrough and also Primer Resources to help you get started. It's not that hard a tool to use; a bit of startup effort but once you get going it's definitely doable. Feel free to post questions and confusions to the forum. (And yes, please go to the link in the Walkthrough to download the appropriate version).\n\nWelcome to the class!"
